pair	scenario	variant	workload	backend	repeat	instructions	ms	instr/sec	mips	cycles	native-cycles	allocated bytes	checksum	compiled traces	fallback instr	pure trace instr	bus trace instr	zero-wait reads	zero-wait writes
5	bus-prefetch	final	register-hot-loop	InterpreterM68000BusPrefetch	1	30000000	1532.809	19571914	19.572	224999990	0	0	0xD59BE6BE	0	0	0	0	0	0
5	bus-prefetch	final	memory-transform-loop	InterpreterM68000BusPrefetch	1	30000000	2063.377	14539275	14.539	374999136	0	0	0x5E73DB50	0	0	0	0	0	0
6	default	final	branch-self-loop	InterpreterM68000	1	30000000	39.813	753518933	753.519	300000000	0	0	0x1EE75D0E	0	0	0	0	0	0
6	default	final	register-hot-loop	InterpreterM68000	1	30000000	114.809	261303101	261.303	224999990	0	0	0xD59BE6BE	0	0	0	0	0	0
6	default	final	memory-transform-loop	InterpreterM68000	1	30000000	1296.755	23134669	23.135	374999136	0	0	0x5E73DB50	0	0	0	0	0	0
6	default	control	branch-self-loop	InterpreterM68000	1	30000000	39.559	758364763	758.365	300000000	0	0	0x1EE75D0E	0	0	0	0	0	0
6	default	control	register-hot-loop	InterpreterM68000	1	30000000	113.179	265066607	265.067	224999990	0	0	0xD59BE6BE	0	0	0	0	0	0
6	default	control	memory-transform-loop	InterpreterM68000	1	30000000	1900.201	15787804	15.788	374999136	0	0	0x5E73DB50	0	0	0	0	0	0
6	cfg	final	cfg-bcc-register-loop	InterpreterM68000	1	30000000	1016.859	29502604	29.503	219581146	0	0	0xFC58829D	0	0	0	0	0	0
6	cfg	final	cfg-dbra-load-loop	InterpreterM68000	1	30000000	1016.534	29512039	29.512	329999082	0	0	0xDD782700	0	0	0	0	0	0
6	cfg	final	cfg-bcc-memory-loop	InterpreterM68000	1	30000000	1127.590	26605420	26.605	254409444	0	0	0x7EA0225A	0	0	0	0	0	0
6	cfg	control	cfg-bcc-register-loop	InterpreterM68000	1	30000000	1617.583	18546191	18.546	219581146	0	0	0xFC58829D	0	0	0	0	0	0
6	cfg	control	cfg-dbra-load-loop	InterpreterM68000	1	30000000	1593.712	18823983	18.824	329999082	0	0	0xDD782700	0	0	0	0	0	0
6	cfg	control	cfg-bcc-memory-loop	InterpreterM68000	1	30000000	1682.315	17832569	17.833	254409444	0	0	0x7EA0225A	0	0	0	0	0	0
6	bus-prefetch	final	branch-self-loop	InterpreterM68000BusPrefetch	1	30000000	1811.341	16562314	16.562	300000000	0	0	0x1EE75D0E	0	0	0	0	0	0
6	bus-prefetch	final	register-hot-loop	InterpreterM68000BusPrefetch	1	30000000	1569.112	19119093	19.119	224999990	0	0	0xD59BE6BE	0	0	0	0	0	0
6	bus-prefetch	final	memory-transform-loop	InterpreterM68000BusPrefetch	1	30000000	2119.625	14153445	14.153	374999136	0	0	0x5E73DB50	0	0	0	0	0	0
6	bus-prefetch	control	branch-self-loop	InterpreterM68000BusPrefetch	1	30000000	1610.350	18629488	18.629	300000000	0	0	0x1EE75D0E	0	0	0	0	0	0
6	bus-prefetch	control	register-hot-loop	InterpreterM68000BusPrefetch	1	30000000	1563.439	19188471	19.188	224999990	0	0	0xD59BE6BE	0	0	0	0	0	0
6	bus-prefetch	control	memory-transform-loop	InterpreterM68000BusPrefetch	1	30000000	2141.328	14009999	14.010	374999136	0	0	0x5E73DB50	0	0	0	0	0	0
